Stock,Index Type,Index,priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta,Market Cap Classification
RELIANCE,Indices Eligible In Derivatives,NIFTY 50,0,RELIANCE,RELIANCEEQN,1280.0,1295.75,1269.0,1274.0,1278.2,-4.2,-0.33,8608380930493.93,1608.8,1156.0,18147129,0,23194752931.35,,20.81054201889607,-10.207612456747405,-57.09,28-Mar-2024,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,28-Feb-2025,6.25,https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg,https://nsearchives.nseindia.com/today/RELIANCEEQN.svg,EQ,"{'symbol': 'RELIANCE', 'companyName': 'Reliance Industries Limited', 'industry': 'Refineries & Marketing', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE002A01018', 'slb_isin': 'INE002A01018', 'listingDate': '1995-11-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
LT,Indices Eligible In Derivatives,NIFTY 50,0,LT,LTEQN,3509.9,3514.0,3472.55,3488.0,3501.6,-13.6,-0.39,4083555935699.01,3963.5,3141.0,1348143,0,4705827955.8,,11.996972372902738,-11.047437121935689,-7.22,28-Mar-2024,https://nsearchives.nseindia.com/365d/LT-EQ.svg,28-Feb-2025,10.38,https://nsearchives.nseindia.com/30d/LT-EQ.svg,https://nsearchives.nseindia.com/today/LTEQN.svg,EQ,"{'symbol': 'LT', 'companyName': 'Larsen & Toubro Limited', 'industry': 'Civil Construction', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE018A01030', 'slb_isin': 'INE018A01030', 'listingDate': '2004-06-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
GRASIM,Indices Eligible In Derivatives,NIFTY 50,0,GRASIM,GRASIMEQN,2614.95,2637.65,2599.35,2605.5,2618.7,-13.2,-0.5,997400302768.08,2877.75,2171.6,435022,0,1138578730.38,,9.46051602814699,-19.980659421624612,14.16,28-Mar-2024,https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg,28-Feb-2025,13.2,https://nsearchives.nseindia.com/30d/GRASIM-EQ.svg,https://nsearchives.nseindia.com/today/GRASIMEQN.svg,EQ,"{'symbol': 'GRASIM', 'companyName': 'Grasim Industries Limited', 'industry': 'Cement & Cement Products', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE047A01021', 'slb_isin': 'INE047A01021', 'listingDate': '1995-05-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
ASIANPAINT,Indices Eligible In Derivatives,NIFTY 50,0,ASIANPAINT,ASIANPAINTEQN,2343.95,2364.0,2325.0,2326.25,2338.1,-11.85,-0.51,1049387388546.39,3394.9,2124.75,1281871,0,3004026232.37,,31.47809950219447,-9.483468643369807,-17.78,28-Mar-2024,https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg,28-Feb-2025,7.38,https://nsearchives.nseindia.com/30d/ASIANPAINT-EQ.svg,https://nsearchives.nseindia.com/today/ASIANPAINTEQN.svg,EQ,"{'symbol': 'ASIANPAINT', 'companyName': 'Asian Paints Limited', 'industry': 'Paints', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE021A01026', 'slb_isin': 'INE021A01026', 'listingDate': '1995-05-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
TECHM,Indices Eligible In Derivatives,NIFTY 50,0,TECHM,TECHMEQN,1415.1,1430.0,1408.55,1415.0,1423.9,-8.9,-0.63,895078145028.12,1807.7,1162.95,1642693,0,2332131252.1,,21.723737345798533,-21.67333075368674,13.63,28-Mar-2024,https://nsearchives.nseindia.com/365d/TECHM-EQ.svg,28-Feb-2025,-4.68,https://nsearchives.nseindia.com/30d/TECHM-EQ.svg,https://nsearchives.nseindia.com/today/TECHMEQN.svg,EQ,"{'symbol': 'TECHM', 'companyName': 'Tech Mahindra Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE669C01036', 'slb_isin': 'INE669C01036', 'listingDate': '2006-08-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
NTPC,Indices Eligible In Derivatives,NIFTY 50,0,NTPC,NTPCEQN,362.0,364.3,356.45,358.0,360.65,-2.65,-0.73,1692925095982.6,448.45,292.8,11327077,0,4069592224.56,,20.16947262794068,-22.267759562841526,6.49,28-Mar-2024,https://nsearchives.nseindia.com/365d/NTPC-EQ.svg,28-Feb-2025,14.82,https://nsearchives.nseindia.com/30d/NTPC-EQ.svg,https://nsearchives.nseindia.com/today/NTPCEQN.svg,EQ,"{'symbol': 'NTPC', 'companyName': 'NTPC Limited', 'industry': 'Power Generation', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'N4', 'U1', 'U4'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE733E01010', 'slb_isin': 'INE733E01010', 'listingDate': '2004-11-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
BAJFINANCE,Indices Eligible In Derivatives,NIFTY 50,0,BAJFINANCE,BAJFINANCEEQN,8997.6,9028.9,8861.0,8929.9,9003.85,-73.95,-0.82,2328859758074.33,9260.05,6375.7,977099,0,8731376205.98,,3.565315522054413,-40.06148344495506,23.47,28-Mar-2024,https://nsearchives.nseindia.com/365d/BAJFINANCE-EQ.svg,28-Feb-2025,4.87,https://nsearchives.nseindia.com/30d/BAJFINANCE-EQ.svg,https://nsearchives.nseindia.com/today/BAJFINANCEEQN.svg,EQ,"{'symbol': 'BAJFINANCE', 'companyName': 'Bajaj Finance Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'W1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE296A01024', 'slb_isin': 'INE296A01024', 'listingDate': '2003-04-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
TITAN,Indices Eligible In Derivatives,NIFTY 50,0,TITAN,TITANEQN,3094.0,3111.8,3051.05,3062.0,3087.65,-25.65,-0.83,1259459751726.53,3867.0,2985.05,778417,0,2396854921.38,,20.81717093354021,-2.5778462672316986,-19.42,28-Mar-2024,https://nsearchives.nseindia.com/365d/TITAN-EQ.svg,28-Feb-2025,-0.45,https://nsearchives.nseindia.com/30d/TITAN-EQ.svg,https://nsearchives.nseindia.com/today/TITANEQN.svg,EQ,"{'symbol': 'TITAN', 'companyName': 'Titan Company Limited', 'industry': 'Gems Jewellery And Watches', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE280A01028', 'slb_isin': 'INE280A01028', 'listingDate': '2004-09-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
TATASTEEL,Indices Eligible In Derivatives,NIFTY 50,0,TATASTEEL,TATASTEELEQN,155.38,156.91,153.37,153.98,155.42,-1.44,-0.93,1269816169423.57,184.6,122.62,24589315,0,3798803274.35,,16.587215601300112,-25.574946990702973,-1.03,28-Mar-2024,https://nsearchives.nseindia.com/365d/TATASTEEL-EQ.svg,28-Feb-2025,12.42,https://nsearchives.nseindia.com/30d/TATASTEEL-EQ.svg,https://nsearchives.nseindia.com/today/TATASTEELEQN.svg,EQ,"{'symbol': 'TATASTEEL', 'companyName': 'Tata Steel Limited', 'industry': 'Iron & Steel', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['Q1', 'B1', 'E1', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE081A01020', 'slb_isin': 'INE081A01020', 'listingDate': '1998-11-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
ULTRACEMCO,Indices Eligible In Derivatives,NIFTY 50,0,ULTRACEMCO,ULTRACEMCOEQN,11585.5,11699.0,11458.65,11481.1,11599.6,-118.5,-1.02,1332116128939.21,12145.35,9250.0,280960,0,3240688166.4,,5.469171328944823,-24.120000000000005,18.06,28-Mar-2024,https://nsearchives.nseindia.com/365d/ULTRACEMCO-EQ.svg,28-Feb-2025,13.64,https://nsearchives.nseindia.com/30d/ULTRACEMCO-EQ.svg,https://nsearchives.nseindia.com/today/ULTRACEMCOEQN.svg,EQ,"{'symbol': 'ULTRACEMCO', 'companyName': 'UltraTech Cement Limited', 'industry': 'Cement & Cement Products', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE481G01011', 'slb_isin': 'INE481G01011', 'listingDate': '2004-08-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '28-Mar-2025 16:00:00', 'preOpenTime': '28-Mar-2025 09:07:12', 'QuotePreOpenFlag': False}}",Large Cap
